# Nome da playlist,Nome da música,Artista,Duração em segundos,Gênero,Extra

dia chuvoso,Iris,The Goo Goo Dolls,290,Rock,1998
dia chuvoso,No Woman No Cry,Bob Marley & The Wailers,226,Reggae,1974
dia chuvoso,Flight Of The Stars,ZAYN,201,Pop,2021
dia chuvoso,Take Care,Beach House,348,Indie,2010
dia chuvoso,Come Here,Kath Bloom,171,Folk,2015
dia chuvoso,I Wanna Love,Kath Bloom,176,Folk,2015
dia chuvoso,Lanterna dos Afogados,Os Paralamas do Sucesso,190,Rock,1989
dia chuvoso,Fade Into You,Mazzy Star,296,Alternative,1993
dia chuvoso,Tola Foi Você,Angela Rô Rô,157,MPB,1980

pra ouvir na madrugada,True Colors,Cyndi Lauper,228,Pop,1986
pra ouvir na madrugada,Lovin You,Minnie Riperton,223,Soul,1975
pra ouvir na madrugada,Time After Time,Cyndi Lauper,246,Pop,1984
pra ouvir na madrugada,Every Breath You Take,The Police,254,Rock,1983
pra ouvir na madrugada,Somebody Else,The 1975,348,Alternative,2016
pra ouvir na madrugada,Wonderful Tonight,Eric Clapton,225,Rock,1977
pra ouvir na madrugada,Listen To Your Heart,Roxette,328,Pop,1988
pra ouvir na madrugada,Unchained Melody,The Righteous Brothers,218,Soul,1965
pra ouvir na madrugada,Stand By Me,Ben E. King,175,Soul,1961

forro,Sem Explicação,Calcinha Preta,224,Forró,20
forro,Liga Pra Mim,Calcinha Preta,201,Forró,21
forro,Como Vou Deixar Você?,Calcinha Preta,189,Forró,17
forro,Vida Vazia,Desejo de Menina,211,Forró,3
forro,A Praia,Mastruz Com Leite,229,Forró,35
forro,Timidez,Cavalo de Pau,190,Forró,1998
forro,Anjo Querubim,Limão com Mel,186,Forró,2000
forro,Me Usa,Banda Magníficos,209,Forró,1996
forro,Manchete dos Jornais,Calcinha Preta,240,Forró,12

Brasilidade,Codinome Beija-Flor,Cazuza,151,MPB,1985
Brasilidade,Boa Vida,Cazuza,186,MPB,1985
Brasilidade,Exagerado,Cazuza,223,MPB,1985
Brasilidade,Amiga Da Minha Mulher,Seu Jorge,248,MPB,2011
Brasilidade,Mina Do Condomínio,Seu Jorge,401,MPB,2007
Brasilidade,Azul Da Cor Do Mar,Tim Maia,198,MPB,1970
Brasilidade,Não Quero Dinheiro, Só Quero Amar,Tim Maia,181,MPB,1971
brasilidade,Tudo Outra Vez,Belchior,250,MPB,1979